latitude;longitude;GoPlaceIt_CL;PortalInmobiliario;Yapo
-33.4708892;-70.6481341;;1.0;
-33.4708889;-70.6501552;;;4.0
-33.4708889;-70.6479665;2.0;5.0;
-33.470871;-70.6480789;;2.0;
-33.4708706;-70.6481302;;1.0;
-33.4708704;-70.6480769;;16.0;
-33.4708704;-70.64807689999999;1.0;;5.0
-33.4708614;-70.6481409;;1.0;1.0
-33.4708519;-70.6311569;;1.0;
-33.47082959645;-70.664901084104;1.0;;
-33.4708256;-70.6480873;31.0;67.0;40.0
-33.4708252;-70.64809;;2.0;
-33.4708252;-70.6480865;;82.0;
-33.470825195312;-70.648086547852;1.0;;
-33.470825;-70.64809;;1.0;
-33.4708176;-70.6361084;;2.0;
-33.470811;-70.6558833;3.0;4.0;
-33.470811;-70.655717;1.0;1.0;
-33.4707985;-70.6614231;3.0;;4.0
-33.4707985;-70.6481018;;1.0;
-33.4707933;-70.650126;;;1.0
-33.4707764;-70.6481258;;1.0;
-33.4707369;-70.6345978;1.0;1.0;
-33.470724;-70.6556841;;1.0;
-33.470724;-70.655191;1.0;1.0;
-33.470704;-70.628631;2.0;2.0;
-33.4707011;-70.6263694;1.0;1.0;
-33.4706336;-70.6480969;;7.0;
-33.4706161;-70.6715922;;1.0;
-33.470616054992;-70.671592173516;1.0;;
-33.4706156;-70.6683448;1.0;1.0;
-33.4706151;-70.6482702;;1.0;
-33.4706041;-70.6550832;;1.0;
-33.470575;-70.6472213;;4.0;
-33.470566871035;-70.664078765848;5.0;;14.0
-33.470556209709;-70.660461115938;1.0;;
-33.4705541;-70.6262303;;1.0;
-33.4705479;-70.6615808;6.0;3.0;
-33.470533;-70.6611281;3.0;;5.0
-33.4705325;-70.644068;;2.0;
-33.4705162;-70.64336;;4.0;
-33.4705162;-70.6433563;;1.0;
-33.4705156;-70.643356;;14.0;1.0
-33.470487;-70.647361;29.0;;
-33.47044638658817;-70.57827727548826;;;1.0
-33.4704418;-70.6556763;;1.0;
-33.47039910425852;-70.66783905029297;;;1.0
-33.4703941;-70.6259918;;2.0;
-33.470375;-70.64257;12.0;;
-33.470373;-70.626279;1.0;1.0;
-33.4703119;-70.6586526;;;1.0
-33.4702759;-70.6261978;;1.0;
-33.4702756;-70.6261964;3.0;;
-33.4702721;-70.6258621;;34.0;
-33.4702717;-70.6258619;16.0;7.0;1.0
-33.4701961;-70.6261522;3.0;17.0;2.0
-33.4701961;-70.62615219999999;;;2.0
-33.4701958;-70.626152;;21.0;
-33.4701847;-70.653037;;4.0;
-33.470169534269;-70.648459276074;3.0;;
-33.4701695;-70.6484593;;1.0;
-33.4701359;-70.63548879999999;1.0;;
-33.4701347;-70.6354904;;22.0;
-33.4701232;-70.6560261;;;1.0
-33.4701231;-70.6376864;1.0;1.0;
-33.47012;-70.62475;;1.0;
-33.470118;-70.624746;4.0;;
-33.470108;-70.637452;3.0;1.0;
-33.4700719;-70.6520633;;1.0;1.0
-33.47007;-70.62507;;;1.0
-33.470069;-70.625068;;1.0;
-33.470047;-70.6257782;;5.0;
-33.4700461;-70.625776;4.0;2.0;
-33.4700461;-70.6257759;2.0;8.0;6.0
-33.47003216650332;-70.62590003013611;;;1.0
-33.4700247;-70.6493894;;3.0;
-33.4700247;-70.64938939999999;;;3.0
-33.4699663;-70.6360384;;3.0;
-33.4699594;-70.6694862;;1.0;
-33.4699427;-70.6256747;;6.0;
-33.4699145;-70.6345311;;1.0;
-33.4699135;-70.6425705;;2.0;
-33.469895264469;-70.655828188649;1.0;;
-33.469848;-70.6295434;;2.0;
-33.4698148;-70.6260565;;14.0;
-33.46980842320716;-70.62586784362793;;;1.0
-33.4697647;-70.6501923;;6.0;
-33.4697343;-70.6277431;1.0;3.0;
-33.4697342;-70.6277466;;7.0;
-33.4697247;-70.6487045;;;1.0
-33.4697037;-70.6255646;;4.0;
-33.4696979;-70.6351427;;1.0;
-33.469660787234;-70.63507493617;1.0;;
-33.4696312;-70.6330338;;3.0;
-33.4696236;-70.6325378;;3.0;
-33.4696121;-70.6466064;;4.0;
-33.4695854;-70.6724091;;1.0;
-33.4695603;-70.6265541;;1.0;
-33.469516961512;-70.66457877701;1.0;;
-33.4695169615116;-70.66457877700968;;;1.0
-33.46951;-70.64332;1.0;;
-33.4694974;-70.6462805;;1.0;
-33.4694901;-70.6328888;;1.0;
-33.4694443;-70.6259003;;2.0;
-33.46944;-70.62966;1.0;;
-33.4694229;-70.6724975;;2.0;
-33.46941;-70.649697;2.0;;1.0
-33.4694099;-70.626358;;1.0;
-33.4694061;-70.6258163;;3.0;
-33.4693358;-70.6447991;;1.0;
-33.4693222;-70.6336594;;2.0;
-33.4693179;-70.6373921;1.0;;
-33.4692789;-70.6516904;;;2.0
-33.4692789;-70.6495017;1.0;;
-33.4692649;-70.6313945;;1.0;
-33.46926;-70.6448023;;5.0;
-33.46926;-70.57047;;;1.0
-33.4691534;-70.6262275;;1.0;
-33.4691334;-70.6423003;1.0;1.0;
-33.46912;-70.6419983;;462.0;
-33.4691199;-70.641997;206.0;;4.0
-33.4690674;-70.6697274;;1.0;
-33.4690611;-70.6487447;;;12.0
-33.469056641500934;-70.62612533569336;;;1.0
-33.4690487;-70.6263731;;1.0;
-33.4690475;-70.6263733;;5.0;
-33.4690208;-70.6261749;;6.0;
-33.469018618855;-70.653041209779;1.0;;
-33.4690132;-70.6376648;;1.0;
-33.469013;-70.6262498;;2.0;
-33.46901;-70.62613;;;2.0
-33.468979;-70.648865;1.0;;
-33.4689782;-70.6488654;13.0;;13.0
-33.4689747;-70.6345166;;3.0;
-33.46889574879913;-70.62493944869435;;;1.0
-33.468885;-70.64576;2.0;;
-33.46884360000001;-70.6545051;;;2.0
-33.468841;-70.639674;1.0;;
-33.4688314;-70.649257;;;1.0
-33.4688209;-70.6491782;;;4.0
-33.4688127;-70.6550894;;;1.0
-33.4687965;-70.649134;22.0;;24.0
-33.4687822;-70.64908207;1.0;;
-33.468782;-70.649082;4.0;;
-33.4687803;-70.6490745;3.0;;9.0
-33.4687662;-70.6487679;;;1.0
-33.4687555;-70.6491418;;;2.0
-33.46873530000001;-70.64914569999999;;;3.0
-33.4687353;-70.6491457;11.0;2.0;4.0
-33.4687;-70.664676;2.0;3.0;1.0
-33.46868075;-70.62775612;1.0;;
-33.4686652;-70.6646651;;;1.0
-33.4686434204877;-70.64944466979557;;;1.0
-33.468634;-70.648391;5.0;;1.0
-33.468627049026544;-70.68453311920166;;;1.0
-33.4686055;-70.5314153;;;1.0
-33.468586;-70.6380692;;1.0;
-33.4685534;-70.66481379999999;4.0;;
-33.4685471;-70.672562;1.0;;
-33.4685452;-70.6491366;1.0;;
-33.468521293491;-70.664707523042;1.0;;
-33.468521293490525;-70.6647075230424;;;1.0
-33.468483;-70.6746063;;2.0;
-33.4684757;-70.6314797;;2.0;
-33.4684563;-70.6370621;;1.0;
-33.4684486;-70.6313324;;6.0;
-33.4684123;-70.6261361;;74.0;
-33.4683442;-70.674267;2.0;1.0;
-33.468318;-70.664831;1.0;;
-33.4683175;-70.66483075;1.0;;
-33.4682975;-70.6265871;;1.0;
-33.468297;-70.656135;;;1.0
-33.4682922;-70.6706696;;5.0;
-33.4682697;-70.6440992;;;1.0
-33.468238;-70.663836;;;1.0
-33.4682265;-70.6266287;;1.0;
-33.4682205;-70.6264407;76.0;13.0;1.0
-33.4682198;-70.626442;;1.0;
-33.4681984;-70.6453878;1.0;;
-33.4681931;-70.6390533;;1.0;
-33.4681842;-70.6451245;;;1.0
-33.468159;-70.6716404;;2.0;
-33.46814;-70.63134;1.0;1.0;
-33.468098;-70.630112;1.0;;
-33.4680888;-70.6733258;;3.0;
-33.4680569;-70.6221534;;;1.0
-33.468045;-70.6326665;;1.0;
-33.468032;-70.6559008;;;2.0
-33.46799790000001;-70.65583590000001;1.0;;
-33.4679979;-70.6558359;3.0;;3.0
-33.467986310002324;-70.62561100421784;;;1.0
-33.46798265632234;-70.67260265350342;;;1.0
-33.4679685;-70.6264671;1.0;2.0;
-33.4679669;-70.645412;1.0;;
-33.46796475645662;-70.63779830932617;1.0;;
-33.4678955;-70.6283378;;1.0;
-33.4678769;-70.6644792;2.0;;
-33.4678628;-70.6266199;;1.0;
-33.4678;-70.64421;;;5.0
-33.467773;-70.673805;1.0;;
-33.4677605;-70.6349084;;1.0;
-33.4677499577795;-70.6309747695923;;;1.0
-33.46774995777949;-70.63097476959229;1.0;;
-33.46774994833256;-70.6411643186167;;;1.0
-33.4677499;-70.6411643;;1.0;
-33.467742;-70.655046;1.0;;
-33.4677266;-70.6647551;;;1.0
-33.4676874;-70.646728;1.0;;
-33.46768;-70.64975;1.0;;
-33.46763809;-70.66483214;1.0;;1.0
-33.46762;-70.55499;;;2.0
-33.4675595;-70.6322649;1.0;2.0;
-33.4675474;-70.6436607;5.0;;6.0
-33.4675134;-70.6737164;2.0;;
-33.4674508;-70.6791524;;;1.0
-33.4674125;-70.6274811;;1.0;
-33.4673195;-70.6277924;;2.0;
-33.4673193;-70.6277905;;1.0;
-33.4673165;-70.6648763;1.0;;
-33.4673046;-70.6273796;;2.0;
-33.4672845588195;-70.6459522247314;;;1.0
-33.46728455881947;-70.64595222473145;1.0;;
-33.467249;-70.642229;1.0;;
-33.4672241;-70.6786957;;13.0;
-33.4672223;-70.6786985;;1.0;
-33.46721282317016;-70.664712785171;;;1.0
-33.467205;-70.6279526;;1.0;
-33.4671651;-70.6742798;;1.0;
-33.4671443;-70.6276973;;1.0;
-33.467097;-70.642132;1.0;;
-33.46709131222487;-70.6257826655948;;;1.0
-33.46708665119207;-70.62452023834534;;;1.0
-33.4670402;-70.6537998;;;3.0
-33.4670334;-70.6279144;;1.0;
-33.467033;-70.635137;2.0;4.0;2.0
-33.46703;-70.6262471;;;1.0
-33.4670053;-70.6268359;;1.0;
-33.4670029;-70.6268096;;1.0;
-33.4669803;-70.6270051;;1.0;
-33.466980258148;-70.62700510025;1.0;;
-33.4669623581;-70.6267690659;1.0;;
-33.4669193;-70.6784131;;1.0;
-33.4669025;-70.6538017;1.0;;1.0
-33.46689773455;-70.645563328976;1.0;;
-33.466892;-70.633185;;1.0;
-33.46688;-70.62792;;;1.0
-33.4668379;-70.6791063;;;1.0
-33.4668269;-70.6279317;;2.0;
-33.466816;-70.636933;1.0;1.0;
-33.4668072;-70.6268641;;1.0;
-33.4667831;-70.6319118;;4.0;
-33.4667778;-70.6279526;;19.0;
-33.466777;-70.6279532;5.0;20.0;3.0
-33.4667602;-70.636979;;1.0;
-33.46676;-70.57989;;;1.0
-33.4667587;-70.6368866;;1.0;
-33.4667587;-70.6280136;;3.0;
-33.4667511;-70.6487869;2.0;;
-33.46672780141529;-70.655794833632;;;1.0
-33.4667238465062;-70.627110971164;;;1.0
-33.4667238;-70.627111;;6.0;
-33.4667207;-70.6271217;;7.0;2.0
-33.4667206;-70.627121;;10.0;
-33.46671175666882;-70.62719821929932;1.0;;
-33.4667015;-70.6270981;;1.0;
-33.4667015;-70.6270905;;2.0;
-33.4667;-70.6333;1.0;;
-33.4666782;-70.6424594;1.0;;
-33.466663;-70.653709;1.0;;
-33.4666471;-70.6276806;;1.0;
-33.4666214;-70.626976;;5.0;
-33.466616202408;-70.628819926222;1.0;;
-33.4666162;-70.6288199;;2.0;
-33.4665985;-70.6279678;;1.0;
-33.466561;-70.628045;2.0;2.0;
-33.4665489;-70.6274261;;2.0;
-33.4665489;-70.627426;2.0;;
-33.46654880000001;-70.654558;;;2.0
-33.4665488;-70.654558;1.0;;
-33.4665164;-70.6274695;2.0;3.0;
-33.466515;-70.627472;3.0;1.0;
-33.4665146;-70.6274719;;2.0;
-33.4665108;-70.6492371;3.0;;1.0
-33.4664925;-70.6272861;1.0;2.0;
-33.4664925;-70.62728609999999;;;1.0
-33.4664917;-70.6272888;;7.0;
-33.466488;-70.627403;3.0;;
-33.4664497;-70.6272964;;12.0;
-33.466448;-70.6272978;5.0;4.0;1.0
-33.4664459;-70.6269836;;1.0;
-33.4664421;-70.6307373;;1.0;
-33.466437;-70.63787;1.0;;
-33.46643;-70.64874;;;2.0
-33.466427;-70.65082799999999;;;5.0
-33.4664122;-70.6273622;;3.0;
-33.46641219963095;-70.62736217301635;;;2.0
-33.466412;-70.6758581;1.0;3.0;
-33.4663726;-70.65125859999999;1.0;;
-33.4663658;-70.6278839;;12.0;
-33.4663656;-70.6278835;1.0;16.0;4.0
-33.46636;-70.62403;;;1.0
-33.4663485;-70.6752597;;2.0;
-33.4663467;-70.6281433;;1.0;
-33.4663391;-70.674942;;1.0;
-33.4663124;-70.627037;;1.0;
-33.4663115;-70.6270377;;;1.0
-33.46629958;-70.63596007;1.0;;
